2026-04-16 12:00:01 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:01 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:01 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=0, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=3, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=3, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=3, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=3, vehicle candidates=0
2026-04-16 12:00:02 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=3, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=5, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=6, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=4, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=1, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
2026-04-16 12:00:03 | DEBUG    | Pipeline | Contours total=2, vehicle candidates=0
